action_interval,max_length,displacement
0.55,1.3,0.5125175859284905
0.55,1.35,0.6655679872413757
0.55,1.4,0.8312186739455102
0.55,1.45,1.0062431126824667
0.55,1.5,1.188920746476538
0.55,1.55,1.3749337316584047
0.55,1.6,1.5453473484044196
0.55,1.65,1.6821879158187263
0.55,1.7,1.7851259518088056
0.55,1.75,1.8617232358641704
0.55,1.8,1.9128109241541038
0.55,1.85,1.9407629544962361
0.55,1.9,1.9473390155351693
0.55,1.95,1.9393172804928984
0.6,1.1,0.06425093909089562
0.6,1.15,0.13624102942167873
0.6,1.2,0.2297809206713223
0.6,1.25,0.34181653833720266
0.6,1.3,0.4696207024990802
0.6,1.35,0.6099246190754056
0.6,1.4,0.7617379519814579
0.6,1.45,0.9221167784250507
0.6,1.5,1.0895686397306676
0.6,1.55,1.2605947622306268
0.6,1.6,1.4335489678074056
0.6,1.65,1.5904840656440509
0.6,1.7,1.719036045397614
0.6,1.75,1.8176419952330685
0.6,1.8,1.892136338827143
0.6,1.85,1.9439820901635683
0.6,1.9,1.975142251601966
0.6,1.95,1.9876023510910377
0.65,1.1,0.059287617456204755
0.65,1.15,0.1257449442556073
0.65,1.2,0.21209205505315645
0.65,1.25,0.31552019059130676
0.65,1.3,0.433493441909419
0.65,1.35,0.5630917325571376
0.65,1.4,0.7032229553093359
0.65,1.45,0.8512657174337752
0.65,1.5,1.0058849093281976
0.65,1.55,1.163732375097023
0.65,1.6,1.323111895466078
0.65,1.65,1.4826381888887104
0.65,1.7,1.627786402109719
0.65,1.75,1.74527776040921
0.65,1.8,1.8390125793600725
0.65,1.85,1.9105616026322618
0.65,1.9,1.9622349903085972
0.65,1.95,1.9946175835146056
0.7,1.1,0.05502260769281514
0.7,1.15,0.11675012844036137
0.7,1.2,0.1969623332268613
0.7,1.25,0.2930471918932064
0.7,1.3,0.4026558793469008
0.7,1.35,0.5231426760183687
0.7,1.4,0.6533673866346696
0.7,1.45,0.790953536445993
0.7,1.5,0.9346907111702492
0.7,1.55,1.0814129600219395
0.7,1.6,1.229548625373878
0.7,1.65,1.3780396921968272
0.7,1.7,1.5225040086080892
0.7,1.75,1.6534166504437442
0.7,1.8,1.7595410244143137
0.7,1.85,1.8462677852250096
0.7,1.9,1.9125580189903868
0.7,1.95,1.9606543338440556
0.75,1.1,0.05279049380874177
0.75,1.15,0.11099434722951379
0.75,1.2,0.18636551146278224
0.75,1.25,0.27649412560419256
0.75,1.3,0.37919162965822567
0.75,1.35,0.49201256160867723
0.75,1.4,0.613843309748997
0.75,1.45,0.7424771495585277
0.75,1.5,0.876837285244032
0.75,1.55,1.0139233167977508
0.75,1.6,1.1522622434332386
0.75,1.65,1.2909655793395525
0.75,1.7,1.4274974471164281
0.75,1.75,1.5559750237600916
0.75,1.8,1.673220821532799
0.75,1.85,1.7724969928102674
0.75,1.9,1.8517829638313852
0.75,1.95,1.9160306805456189
0.8,1.1,0.048112406888826266
0.8,1.15,0.10213166029770145
0.8,1.2,0.1723008526699529
0.8,1.25,0.2563452644167031
0.8,1.3,0.35222296218826604
0.8,1.35,0.4576883690278803
0.8,1.4,0.5715753386943513
0.8,1.45,0.6918496618903349
0.8,1.5,0.8175374666436377
0.8,1.55,0.945801968372292
0.8,1.6,1.0752043857302098
0.8,1.65,1.205057389512231
0.8,1.7,1.3329082300159467
0.8,1.75,1.4533838137885988
0.8,1.8,1.56736277567157
0.8,1.85,1.6717506436015712
0.8,1.9,1.7580479071335813
0.8,1.95,1.8304780253537472
0.85,1.1,0.04524932070605969
0.85,1.15,0.09608599181624174
0.85,1.2,0.16214447180925043
0.85,1.25,0.24127331325358178
0.85,1.3,0.3315349635109383
0.85,1.35,0.43091857094106417
0.85,1.4,0.5381796705875571
0.85,1.45,0.6514673015061245
0.85,1.5,0.769866953518555
0.85,1.55,0.8907085954519022
0.85,1.6,1.0126126495069314
0.85,1.65,1.1350011373345572
0.85,1.7,1.2555501473273367
0.85,1.75,1.3690303900565242
0.85,1.8,1.4764776390371885
0.85,1.85,1.5734363893337544
0.85,1.9,1.659320448663988
0.85,1.95,1.7340847705681373
0.9,1.1,0.041054552072903254
0.9,1.15,0.08823963536261466
0.9,1.2,0.14976830776856767
0.9,1.25,0.2236528497394732
0.9,1.3,0.3080354077465552
0.9,1.35,0.4010337363041943
0.9,1.4,0.5014614516230812
0.9,1.45,0.6075495450211333
0.9,1.5,0.7184652525683018
0.9,1.55,0.8316892481939941
0.9,1.6,0.9458507784690605
0.9,1.65,1.060518530783457
0.9,1.7,1.1734656962630048
0.9,1.75,1.27960895078479
0.9,1.8,1.3800966743052738
0.9,1.85,1.4705152400881858
0.9,1.9,1.5471334241442343
0.9,1.95,1.6164122598112798
0.95,1.1,0.04044172656614276
0.95,1.15,0.08592020250778158
0.95,1.2,0.1450093618393533
0.95,1.25,0.2157984163808885
0.95,1.3,0.29654247678263995
0.95,1.35,0.38553186902923087
0.95,1.4,0.48149615111934957
0.95,1.45,0.5828318050861555
0.95,1.5,0.6887592218276594
0.95,1.55,0.7968837512890318
0.95,1.6,0.9058794655860961
0.95,1.65,1.0154276730305645
0.95,1.7,1.1233552812971788
0.95,1.75,1.224722653792641
0.95,1.8,1.3208111290429259
0.95,1.85,1.4074050159685019
0.95,1.9,1.4809098948160875
0.95,1.95,1.5350295569872838
