Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_force_2,arm_length_0,arm_length_1,arm_length_2
4.7,0.722849,0.184329,0,-0.255846,0.389329,0,-0.306629,-0.609264,0,4.77188,-1.13986,-1.13973,1.29885,0.999934,0.999884
4.8,0.757546,0.221214,0,-0.23281,0.359449,0,-0.35113,-0.633433,0,4.85412,-1.48292,-1.48281,1.39885,0.999957,0.999907
4.9,0.776957,0.246667,0,-0.212974,0.38791,0,-0.388032,-0.697985,0,3.15274,-0.619588,3.71346,1.49886,0.999957,1.09892
5,0.761296,0.233494,0,-0.215304,0.448493,0,-0.381093,-0.739918,0,-1.54131,0.551679,5.03932,1.50086,0.999985,1.19892
5.1,0.741925,0.221177,0,-0.215059,0.507897,0,-0.374203,-0.782245,0,-1.46617,0.265617,4.79425,1.50087,0.999013,1.29892
5.2,0.71998,0.209647,0,-0.213162,0.566478,0,-0.367343,-0.824927,0,-1.44743,0.000747625,4.6348,1.50087,0.99904,1.39892
5.3,0.652449,0.160334,0,-0.218459,0.650045,0,-0.321775,-0.846326,0,-6.07497,-0.51899,5.99164,1.40188,0.999147,1.49893
5.4,0.608292,0.121398,0,-0.223574,0.674889,0,-0.284446,-0.824816,0,-4.78823,-0.257474,1.46456,1.30189,0.999176,1.50094
5.5,0.562257,0.0835579,0,-0.226071,0.69752,0,-0.247472,-0.803273,0,-5.03209,-0.544769,1.54053,1.20189,0.999204,1.50095
5.6,0.513747,0.0466414,0,-0.225864,0.718537,0,-0.210653,-0.782336,0,-5.39532,-0.877961,1.69227,1.10189,0.999233,1.50095
5.7,0.504498,0.0131921,0,-0.233067,0.687331,0,-0.18453,-0.712782,0,-4.12155,0.683598,-3.36208,1.0019,0.999233,1.40195
5.8,0.541824,0.0141845,0,-0.239384,0.637263,0,-0.193976,-0.662898,0,1.15123,1.14951,-4.77323,0.999921,0.999256,1.30195
5.9,0.575636,0.0153841,0,-0.243961,0.58706,0,-0.202061,-0.613163,0,0.879936,0.877891,-4.8051,0.999942,0.999277,1.20195
6,0.605968,0.0164633,0,-0.247103,0.536907,0,-0.208714,-0.563378,0,0.657283,0.654822,-4.94907,0.999961,0.999295,1.10195
6.1,0.714632,0.0203226,0,-0.281395,0.485643,0,-0.246515,-0.514703,0,4.57661,4.57511,-5.99032,1.09902,1.09836,1.00195
6.2,0.793417,0.0231172,0,-0.313873,0.483985,0,-0.279022,-0.515362,0,3.7667,3.76786,-0.685363,1.19904,1.19837,0.999954
6.3,0.796522,-0.030239,0,-0.380644,0.51992,0,-0.213927,-0.465113,0,-6.15736,5.80641,-0.995774,1.10106,1.29838,0.999041
6.4,0.801448,-0.0849472,0,-0.446877,0.547486,0,-0.145959,-0.405259,0,-7.09367,6.33497,-2.27084,1.00109,1.39839,0.999137
6.5,0.82493,-0.106577,0,-0.495347,0.60409,0,-0.120632,-0.429212,0,-0.618714,3.15211,3.71483,0.99909,1.49839,1.09815
6.6,0.8071,-0.0965378,0,-0.496352,0.64657,0,-0.111629,-0.48919,0,0.554449,-1.54345,5.04241,0.999118,1.5004,1.19815
6.7,0.78614,-0.0877608,0,-0.497339,0.689345,0,-0.100793,-0.547808,0,0.266039,-1.46532,4.79505,0.999146,1.5004,1.29815
6.8,0.762438,-0.0805297,0,-0.498557,0.732562,0,-0.0880167,-0.605005,0,0.00125574,-1.44652,4.63528,0.999174,1.50041,1.39815
6.9,0.686916,-0.0446844,0,-0.457768,0.762086,0,-0.077668,-0.688093,0,-0.517104,-6.07364,5.99044,0.999281,1.40142,1.49817
7,0.636286,-0.0146725,0,-0.417074,0.747911,0,-0.0780807,-0.713458,0,-0.256108,-4.78807,1.463,0.99931,1.30142,1.50017
7.1,0.60804,0.014557,0,-0.376381,0.701533,0,-0.0887861,-0.701725,0,0.309017,-3.99726,-1.76625,0.999313,1.20142,1.4331
7.2,0.579981,0.04334,0,-0.335217,0.654364,0,-0.0991513,-0.689743,0,0.327735,-4.26553,-1.9122,0.999316,1.10143,1.36536
7.3,0.563266,0.0727252,0,-0.292984,0.590134,0,-0.114243,-0.661859,0,0.738706,-4.31955,-3.72535,0.999316,1.00144,1.26569
7.4,0.594964,0.0775506,0,-0.291241,0.539672,0,-0.127036,-0.613382,0,0.793793,0.794193,-4.84419,0.999336,0.999457,1.16569
7.5,0.661292,0.118063,0,-0.275123,0.467627,0,-0.17749,-0.592588,0,5.67154,-0.151891,-5.75488,1.09835,0.999533,1.0657
7.6,0.712827,0.157406,0,-0.254377,0.409787,0,-0.225563,-0.589519,0,4.80825,-0.869876,-0.870283,1.19836,0.99959,0.999721
7.7,0.74803,0.193469,0,-0.233372,0.383391,0,-0.268602,-0.61573,0,4.77226,-1.13903,-1.13937,1.29836,0.99961,0.999742
7.8,0.782157,0.230885,0,-0.209882,0.353874,0,-0.312718,-0.640588,0,4.85423,-1.4821,-1.48239,1.39836,0.999633,0.999765
7.9,0.801169,0.256637,0,-0.190492,0.382639,0,-0.348611,-0.705709,0,3.15311,-0.619298,3.71397,1.49837,0.999634,1.09877
8,0.785704,0.243227,0,-0.193757,0.443175,0,-0.341025,-0.747529,0,-1.54108,0.551127,5.03947,1.50037,0.999662,1.19878
8.1,0.766924,0.230419,0,-0.194956,0.502754,0,-0.333359,-0.789634,0,-1.46367,0.263321,4.793,1.50038,0.999689,1.29878
8.2,0.745148,0.218571,0,-0.193971,0.561336,0,-0.325829,-0.832219,0,-1.44539,-0.00105459,4.63386,1.50038,0.999717,1.39878
8.3,0.678386,0.168244,0,-0.200571,0.644776,0,-0.279915,-0.852915,0,-6.07303,-0.5202,5.9894,1.4014,0.999824,1.49879
8.4,0.634845,0.128638,0,-0.206077,0.669523,0,-0.242917,-0.830822,0,-4.78808,-0.25722,1.46289,1.3014,0.999853,1.5008
8.5,0.589412,0.090097,0,-0.208933,0.692099,0,-0.206275,-0.808701,0,-5.03203,-0.544139,1.53871,1.2014,0.999881,1.5008
8.6,0.541495,0.0524394,0,-0.209065,0.713106,0,-0.169779,-0.787187,0,-5.39533,-0.876876,1.69015,1.1014,0.999909,1.50081
8.7,0.532771,0.0188518,0,-0.215777,0.681796,0,-0.144745,-0.717214,0,-4.12448,0.685033,-3.36388,1.00141,0.99991,1.40181
8.8,0.570065,0.0204142,0,-0.221297,0.631652,0,-0.154976,-0.667468,0,1.14894,1.15023,-4.77301,0.999433,0.999932,1.30181
8.9,0.603844,0.0221247,0,-0.225079,0.581403,0,-0.163844,-0.617847,0,0.877563,0.879097,-4.80512,0.999453,0.999953,1.20181
