Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_force_2,arm_extensile_velocity_0,arm_extensile_velocity_1,arm_extensile_velocity_2,arm_length_0,arm_length_1,arm_length_2
8.9,0.656812,0.24493,0,-0.643562,0.245944,0,0.00550933,-0.513725,0,0.372823,-1.28412,0.372399,-1,-1,-1,0.999877,1.30137,0.999195
9,0.606834,0.256431,0,-0.59354,0.257356,0,0.00546322,-0.542411,0,0.308079,-1.24166,0.307563,-1,-1,-1,0.999897,1.20137,0.999216
9.1,0.556855,0.266403,0,-0.543519,0.267235,0,0.00541816,-0.567713,0,0.25695,-1.21535,0.25632,-1,-1,-1,0.999916,1.10137,0.999234
9.2,0.506876,0.275063,0,-0.493498,0.275796,0,0.00537383,-0.590017,0,0.215267,-1.20193,0.214495,1,-1,1,0.999933,1.00137,0.999252
9.3,0.50643,0.311595,0,-0.492945,0.312337,0,0.00526514,-0.667547,0,0.920605,-0.365345,0.920459,1,-1,1,1.09895,0.999375,1.09827
9.4,0.506483,0.34743,0,-0.492892,0.348181,0,0.00515841,-0.742787,0,0.872419,-0.319426,0.872268,1,-1,1,1.19896,0.999375,1.19828
9.5,0.506536,0.382854,0,-0.492839,0.383611,0,0.00505287,-0.81649,0,0.836498,-0.284576,0.836345,1,-1,1,1.29897,0.999375,1.29828
9.6,0.506589,0.417994,0,-0.492786,0.418757,0,0.00494827,-0.889017,0,0.808765,-0.257115,0.808612,-1,-1,1,1.39897,0.999375,1.39829
9.7,0.489251,0.363663,0,-0.507349,0.438462,0,0.0327056,-0.853503,0,-1.21172,0.0621608,0.402834,-1,-1,1,1.30097,0.999402,1.4003
9.8,0.469658,0.309984,0,-0.518869,0.457197,0,0.0599508,-0.817879,0,-1.21433,-0.00556141,0.405586,-1,-1,1,1.20097,0.999429,1.4003
9.9,0.447567,0.256686,0,-0.527625,0.475572,0,0.0871541,-0.782566,0,-1.23031,-0.0783704,0.422322,-1,-1,1,1.10097,0.999455,1.40031
10,0.42281,0.203669,0,-0.533684,0.493646,0,0.114532,-0.747603,0,-1.26318,-0.161544,0.456283,-1,1,1,1.00098,0.999482,1.40031
10.1,0.480225,0.193238,0,-0.578091,0.491291,0,0.103441,-0.731987,0,0.0805965,1.23109,-0.423284,-1,1,1,0.999003,1.09848,1.40032
10.2,0.536617,0.180956,0,-0.622604,0.489135,0,0.0933281,-0.71434,0,0.00749789,1.21468,-0.406077,-1,1,1,0.99903,1.19849,1.40033
10.3,0.59189,0.166403,0,-0.667397,0.487125,0,0.0845023,-0.69422,0,-0.0603691,1.21172,-0.402937,-1,1,1,0.999056,1.29849,1.40033
10.4,0.646156,0.149606,0,-0.71253,0.485068,0,0.0769757,-0.671491,0,-0.12705,1.22082,-0.412606,0.256,1,-1,0.999083,1.39849,1.40034
10.5,0.676538,0.161765,0,-0.696031,0.44007,0,0.0336882,-0.636217,0,0.36599,0.336729,-1.2235,0.256,1,-1,1.02445,1.4005,1.30134
