Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_force_2,arm_extensile_velocity_0,arm_extensile_velocity_1,arm_extensile_velocity_2,arm_length_0,arm_length_1,arm_length_2
8.5,1.07686,-0.245399,0,-0.637326,0.576814,0,-0.414531,-0.397919,0,-1.3395,0.639962,-0.286127,-1,1,-1,1.50017,1.90117,0.999871
8.6,1.04183,-0.265983,0,-0.662494,0.576477,0,-0.353136,-0.374376,0,-1.42494,0.736276,-0.426988,-1,1,-1,1.40017,1.90117,0.999912
8.7,1.00708,-0.287976,0,-0.688455,0.57204,0,-0.290827,-0.345459,0,-1.56804,0.891346,-0.621642,-1,1,-1,1.30018,1.90117,0.999956
8.8,0.972351,-0.312417,0,-0.715609,0.562373,0,-0.226837,-0.308903,0,-1.82704,1.16347,-0.929436,-1,1,-1,1.20019,1.90118,0.999009
8.9,0.936854,-0.340402,0,-0.74454,0.546944,0,-0.159638,-0.263018,0,-2.36531,1.71534,-1.5137,-1,1,-1,1.10022,1.90118,0.999074
9,0.898547,-0.376296,0,-0.777295,0.521493,0,-0.0848508,-0.198832,0,-4.03297,3.39682,-3.22503,-1,-1,-1,1.00028,1.90118,0.999172
9.1,0.873106,-0.317907,0,-0.714587,0.532662,0,-0.125319,-0.274366,0,1.64348,-2.46461,1.64346,-1,-1,-1,0.999373,1.80218,0.999265
9.2,0.842406,-0.269334,0,-0.657138,0.534013,0,-0.155174,-0.330089,0,1.05002,-1.88733,1.04999,-1,-1,-1,0.999428,1.70218,0.999319
9.3,0.808894,-0.226012,0,-0.602503,0.530113,0,-0.17937,-0.375248,0,0.754886,-1.60908,0.754848,-1,-1,-1,0.999468,1.60218,0.999359
9.4,0.773523,-0.186158,0,-0.549725,0.522745,0,-0.199805,-0.413385,0,0.577616,-1.44959,0.577571,-1,-1,-1,0.999499,1.50218,0.999391
