Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,sphere_pos_3_x,sphere_pos_3_y,sphere_pos_3_z,sphere_pos_4_x,sphere_pos_4_y,sphere_pos_4_z,sphere_pos_5_x,sphere_pos_5_y,sphere_pos_5_z,arm_force_0,input_action_0,arm_energy_consumption_0,arm_force_1,input_action_1,arm_energy_consumption_1,arm_force_2,input_action_2,arm_energy_consumption_2,arm_force_3,input_action_3,arm_energy_consumption_3,arm_force_4,input_action_4,arm_energy_consumption_4,arm_force_5,input_action_5,arm_energy_consumption_5,arm_force_6,input_action_6,arm_energy_consumption_6,arm_force_7,input_action_7,arm_energy_consumption_7,arm_force_8,input_action_8,arm_energy_consumption_8,arm_length_0,arm_length_1,arm_length_2,arm_length_3,arm_length_4,arm_length_5,arm_length_6,arm_length_7,arm_length_8
2.9,-1.52911,0.683834,0,-0.46448,-0.890615,0,-0.582624,1.00503,0,1.19017,-1.28408,0,0.648511,-0.443516,0,0.59561,0.755879,0,-0.746724,1,0,1.03048,0,0,-0.812676,0,0,-3.82218,-1,0.483877,3.66772,1,0.461182,-0.925043,0,0,2.41815,1,0.291404,3.51899,1,0.41721,2.72783,-1,0,1.90061,0.999502,1.89933,1.70179,1.19844,1.90105,1.20329,1.19956,0.999973
3,-1.54927,0.635948,0,-0.470213,-0.928649,0,-0.605776,0.965835,0,1.0792,-1.33095,0,0.71676,-0.39983,0,0.697038,0.900587,0,-0.68958,1,0,0.761207,0,0,-0.397457,0,0,-2.86411,-1,0.326221,2.84828,1,0.318481,-1.03723,0,0,1.89943,1,0.212893,2.78545,1,0.310661,1.54608,-1,6.83183e-05,1.90061,0.999503,1.89933,1.60179,1.29844,1.90109,1.30345,1.29957,0.999176
3.1,-1.55973,0.593402,0,-0.48292,-0.97274,0,-0.615768,0.921937,0,0.969606,-1.3503,0,0.779683,-0.369174,0,0.784519,1.03139,0,-0.655017,1,0,0.581936,0,0,-0.172902,0,0,-2.41972,-1,0.261191,2.52265,1,0.265767,-1.13031,0,0,1.61468,1,0.174327,2.33755,1,0.254416,0.851038,-1,0,1.90061,0.999503,1.89933,1.50179,1.39845,1.90112,1.40356,1.39957,0.999339
3.2,-1.56354,0.554566,0,-0.501139,-1.02139,0,-0.616601,0.874427,0,0.861086,-1.34785,0,0.838909,-0.348614,0,0.862259,1.15177,0,-0.638404,1,0,0.448438,0,0,-0.0443009,0,0,-2.23544,-1,0.23093,2.4389,1,0.246441,-1.20882,0,0,1.43884,1,0.151939,2.01946,1,0.216956,0.333856,-1,0,1.90061,0.999503,1.89933,1.4018,1.49845,1.90114,1.50364,1.49957,0.999482
3.3,-1.56218,0.518056,0,-0.523724,-1.07378,0,-0.610508,0.823564,0,0.752432,-1.32583,0,0.895677,-0.336526,0,0.932685,1.26362,0,-0.641732,1,0,0.341416,0,0,0.0262578,0,0,-2.25127,-1,0.222629,2.53974,1,0.247386,-1.2838,0,0,1.32475,1,0.137716,1.76432,1,0.188723,-0.157108,-1,0,1.90062,0.999505,1.89933,1.30181,1.59845,1.90116,1.60371,1.59957,0.999619
3.4,-1.55623,0.482379,0,-0.549672,-1.12982,0,-0.598671,0.768882,0,0.64136,-1.28296,0,0.951068,-0.332374,0,0.997512,1.36756,0,-0.67581,1,0,0.251212,0,0,0.0532216,0,0,-2.53028,-1,0.236299,2.89109,1,0.268891,-1.3706,0,0,1.25359,1,0.128555,1.53062,1,0.164617,-0.781381,-1,0,1.90062,0.999507,1.89934,1.20184,1.69845,1.90117,1.70376,1.69957,0.999766
3.5,-1.54547,0.445159,0,-0.577609,-1.19057,0,-0.581353,0.708766,0,0.523083,-1.21224,0,1.00645,-0.336881,0,1.05833,1.46294,0,-0.779215,1,0,0.173125,0,0,0.0319183,0,0,-3.44651,-1,0.29023,3.87129,1,0.329578,-1.50475,0,0,1.22612,1,0.123529,1.2669,1,0.140346,-1.96503,-1,0,1.90063,0.999509,1.89934,1.1019,1.79845,1.90118,1.80381,1.79957,0.999945
3.6,-1.52624,0.400258,0,-0.603602,-1.26141,0,-0.555249,0.637323,0,0.381638,-1.08381,0,1.06601,-0.355687,0,1.1153,1.54424,0,-0.861422,0,0,-0.561435,1,0,-0.637634,1,0,-8.35371,1,0.512155,9.0567,0,0.559129,-1.74047,-1,0,-0.26035,1,0.120097,1.16517,0,0.106578,-7.08064,1,0.00489937,1.90063,0.999513,1.89935,1.00211,1.89845,1.90119,1.90085,1.89957,0.999259
3.7,-1.58409,0.409915,0,-0.638412,-1.23875,0,-0.512801,0.657454,0,0.462822,-1.25208,0,1.01285,-0.299989,0,1.14,1.59634,0,0.33672,0,0,1.07444,1,0.107148,0.545285,1,0.0024045,2.97278,1,0.462808,-2.41689,0,0,-0.438352,-1,0.0354234,0.547603,1,0,0.587038,0,0,3.10662,1,0.480785,1.90063,1.09851,1.90036,1.10031,1.89946,1.8022,1.90085,1.90059,1.09855
3.8,-1.63887,0.410818,0,-0.668243,-1.22329,0,-0.466898,0.666394,0,0.5243,-1.36877,0,0.964583,-0.252807,0,1.16752,1.63693,0,0.221767,0,0,1.07486,1,0.107479,0.464088,1,0,1.97167,1,0.237953,-1.42313,0,0,-0.484251,-1,0.046693,0.577263,1,0,0.408869,0,0,2.03312,1,0.247613,1.90064,1.19852,1.90038,1.20038,1.89946,1.7022,1.90086,1.9006,1.19868
3.9,-1.69303,0.408799,0,-0.696551,-1.20968,0,-0.420135,0.670506,0,0.579787,-1.46395,0,0.917919,-0.208951,0,1.19599,1.67122,0,0.167151,0,0,1.07509,1,0.107491,0.417635,1,0,1.56217,1,0.17402,-1.02415,0,0,-0.494943,-1,0.0490941,0.597178,1,0,0.283584,0,0,1.55504,1,0.176696,1.90064,1.29852,1.90039,1.30042,1.89947,1.6022,1.90086,1.90062,1.29876
4,-1.74725,0.405517,0,-0.724252,-1.19633,0,-0.373219,0.671379,0,0.632826,-1.54615,0,0.872099,-0.16694,0,1.22485,1.70067,0,0.135089,0,0,1.07642,1,0.107565,0.389933,1,0,1.34899,1,0.144424,-0.823577,0,0,-0.497414,-1,0.0496425,0.618977,1,0,0.176219,0,0,1.27261,1,0.140228,1.90064,1.39852,1.90041,1.40044,1.89947,1.5022,1.90086,1.90063,1.39881
4.1,-1.80183,0.401658,0,-0.751718,-1.18255,0,-0.326464,0.669688,0,0.684842,-1.61919,0,0.826844,-0.126075,0,1.2539,1.72597,0,0.113491,0,0,1.07918,1,0.107769,0.376319,1,0,1.22554,1,0.128137,-0.715939,0,0,-0.499635,-1,0.0498387,0.646941,1,0,0.074614,0,0,1.07762,1,0.116909,1.90064,1.49852,1.90042,1.50045,1.89947,1.4022,1.90087,1.90065,1.49886
4.2,-1.85691,0.39755,0,-0.779119,-1.16796,0,-0.280046,0.66578,0,0.736521,-1.68518,0,0.782046,-0.0859404,0,1.28301,1.74751,0,0.0971373,0,0,1.08354,1,0.108125,0.375597,1,0,1.1511,1,0.118484,-0.662403,0,0,-0.504765,-1,0.0501905,0.683794,1,0,-0.0275776,0,0,0.928651,1,0.0999558,1.90065,1.59852,1.90044,1.60046,1.89947,1.3022,1.90087,1.90066,1.59889
4.3,-1.91257,0.393353,0,-0.806533,-1.15233,0,-0.234076,0.659852,0,0.788225,-1.74542,0,0.737677,-0.0462499,0,1.31213,1.76554,0,0.0833239,0,0,1.08962,1,0.108646,0.388302,1,0,1.10679,1,0.112672,-0.64657,0,0,-0.514364,-1,0.0509194,0.732138,1,0,-0.134955,0,0,0.806417,1,0.0865208,1.90065,1.69852,1.90046,1.70047,1.89948,1.2022,1.90087,1.90068,1.69892
4.4,-1.96885,0.389138,0,-0.833989,-1.13552,0,-0.188638,0.652028,0,0.840153,-1.80076,0,0.69375,-0.006787,0,1.34123,1.78022,0,0.0704395,0,0,1.09761,1,0.109349,0.416303,1,0,1.0826,1,0.109318,-0.661758,0,0,-0.529462,-1,0.0521492,0.79511,1,0,-0.25189,0,0,0.700753,1,0.0751966,1.90065,1.79852,1.90047,1.80047,1.89948,1.1022,1.90087,1.90069,1.79894
4.5,-2.02564,0.384674,0,-0.861133,-1.11746,0,-0.143686,0.642401,0,0.891725,-1.85184,0,0.650501,0.0327498,0,1.37022,1.79193,0,-0.511496,0,0,1.20219,-1,0.110348,0.0121282,0,0,-0.510881,0,0.106588,0.00908928,0,0,-0.372814,1,0.0537989,0.381389,0,0,0.376686,0,0,1.20044,0,0.0658027,1.90066,1.89852,1.90049,1.90048,1.89948,1.0022,1.90087,1.90071,1.89896
