Time,sphere_pos_0_x,sphere_pos_0_y,sphere_pos_0_z,sphere_pos_1_x,sphere_pos_1_y,sphere_pos_1_z,sphere_pos_2_x,sphere_pos_2_y,sphere_pos_2_z,arm_force_0,arm_force_1,arm_force_2,arm_extensile_velocity_0,arm_extensile_velocity_1,arm_extensile_velocity_2,arm_length_0,arm_length_1,arm_length_2
4.8,1.0419,0.337324,0,-0.852551,0.185158,0,-0.152229,-0.528604,0,-1.35575,0.658579,-0.315765,-1,1,-1,1.47605,1.90056,0.999954
4.9,1.02232,0.301642,0,-0.873764,0.171264,0,-0.111629,-0.476147,0,-1.45191,0.765875,-0.46634,-1,1,-1,1.37606,1.90056,0.999995
5,1.00385,0.264631,0,-0.893414,0.152827,0,-0.0732919,-0.417686,0,-1.61647,0.942838,-0.681938,-1,1,-1,1.27607,1.90056,0.999041
5.1,0.98639,0.225511,0,-0.911761,0.129873,0,-0.0367669,-0.352391,0,-1.91645,1.25593,-1.02981,-1,1,-1,1.17608,1.90056,0.999096
5.2,0.97027,0.182094,0,-0.928518,0.10005,0,-0.00260904,-0.275485,0,-2.58296,1.93614,-1.74176,-1,1,-1,1.07611,1.90056,0.999165
5.3,0.959111,0.142833,0,-0.940038,0.0696059,0,0.0214772,-0.202389,0,0,0,0,-1,1,-1,0.999167,1.90056,0.999246
5.4,0.959111,0.142833,0,-0.940038,0.0696059,0,0.0214772,-0.202389,0,0,0,0,-1,1,1,0.999167,1.90056,0.999246
5.5,0.940819,0.180079,0,-0.95875,0.118699,0,0.0605877,-0.292919,0,1.52289,-1.7241,2.37402,-1,1,1,0.999265,1.90056,1.09831
5.6,0.921577,0.206603,0,-0.978398,0.15942,0,0.100886,-0.363599,0,0.932941,-1.16653,1.83009,-1,1,1,0.999331,1.90056,1.19833
5.7,0.901267,0.226769,0,-0.999052,0.196418,0,0.142684,-0.42386,0,0.625514,-0.894675,1.57118,-1,1,1,0.999383,1.90056,1.29835
5.8,0.879875,0.242154,0,-1.02066,0.231414,0,0.18603,-0.477176,0,0.429429,-0.738142,1.42665,-1,1,1,0.999427,1.90056,1.39836
5.9,0.857399,0.253498,0,-1.04313,0.26526,0,0.23091,-0.52525,0,0.287847,-0.641057,1.34047,-1,1,1,0.999468,1.90056,1.49836
6,0.833836,0.261181,0,-1.06636,0.298459,0,0.277289,-0.569041,0,0.176099,-0.579971,1.2891,-1,1,1,0.999506,1.90057,1.59836
6.1,0.809165,0.265399,0,-1.09026,0.331341,0,0.325139,-0.609131,0,0.0813544,-0.543656,1.26129,-1,1,1,0.999542,1.90057,1.69836
6.2,0.783347,0.266227,0,-1.1147,0.364147,0,0.374443,-0.645887,0,-0.00416824,-0.526487,1.25139,-1,1,1,0.999577,1.90057,1.79836
